,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
20,Aug-18,₦474.13,₦41.79,₦410.16,₦361.68,"₦1,061.78","₦1,281.02",₦307.97,₦278.27,₦397.29,"₦1,807.11","₦1,088.95","₦1,512.40",₦803.03,₦992.48,"₦1,382.94",₦162.99,₦184.25,"₦1,533.22",₦198.82,₦246.75,₦603.41,₦937.22,₦309.50,₦926.18,₦180.09,₦191.06,"₦1,104.81","₦1,897.08",₦252.09,₦501.13,₦275.78,₦247.06,₦327.02,₦280.29,₦322.55,₦375.02,₦167.08,₦947.79,₦946.55,₦336.65,₦540.44,₦661.06,₦292.97
21,Sep-18,₦472.73,₦41.17,₦416.07,₦362.71,"₦1,027.66","₦1,281.64",₦303.84,₦278.57,₦384.49,"₦1,766.55","₦1,089.25","₦1,499.60",₦808.05,"₦1,012.50","₦1,374.26",₦166.28,₦189.29,"₦1,534.18",₦195.86,₦253.70,₦608.35,₦931.59,₦291.95,₦944.50,₦179.90,₦189.81,"₦1,072.12","₦1,908.02",₦251.30,₦501.02,₦272.60,₦244.26,₦328.42,₦277.78,₦319.46,₦371.32,₦167.28,₦979.22,₦941.50,₦328.26,₦546.85,₦651.87,₦280.28
22,Oct-18,₦482.90,₦41.73,₦411.05,₦354.22,"₦1,003.35","₦1,260.59",₦299.19,₦272.91,₦370.21,"₦2,362.28","₦1,080.38","₦1,482.30",₦775.66,₦982.51,"₦1,365.68",₦163.34,₦187.25,"₦1,558.22",₦188.39,₦236.26,₦592.51,₦916.80,₦300.14,₦920.99,₦171.14,₦178.38,"₦1,052.07","₦1,874.37",₦232.81,₦495.07,₦245.62,₦226.56,₦323.27,₦277.87,₦314.89,₦373.04,₦154.73,₦923.12,₦923.92,₦306.59,₦536.08,₦656.80,₦252.21
23,Nov-18,₦477.76,₦42.40,₦396.73,₦346.41,₦998.67,"₦1,251.45",₦305.48,₦277.87,₦385.61,"₦1,814.97","₦1,112.09","₦1,490.84",₦985.33,₦981.48,"₦1,331.62",₦162.42,₦187.56,"₦1,551.25",₦183.59,₦222.42,₦603.90,₦920.98,₦330.10,₦937.77,₦165.03,₦168.92,"₦1,067.10","₦1,894.29",₦287.66,₦496.18,₦254.08,₦225.54,₦329.14,₦278.46,₦318.94,₦376.63,₦147.70,₦934.07,"₦1,105.17",₦294.36,₦536.53,₦659.65,₦239.15
24,Dec-18,₦466.97,₦42.58,₦386.78,₦344.72,₦997.73,"₦1,270.81",₦296.91,₦271.14,₦381.64,"₦1,808.55","₦1,060.83","₦1,519.80",₦737.76,₦943.99,"₦1,342.97",₦163.28,₦189.98,"₦1,625.05",₦166.64,₦195.99,₦585.52,₦906.39,₦298.59,₦934.19,₦161.49,₦160.42,"₦1,032.24","₦1,861.66",₦259.38,₦474.53,₦227.28,₦215.73,₦321.58,₦280.79,₦318.00,₦370.57,₦140.70,₦887.54,₦926.42,₦271.51,₦507.83,₦662.89,₦212.65
25,Jan-19,₦469.86,₦42.18,₦382.76,₦336.72,₦994.20,"₦1,273.99",₦300.61,₦272.97,₦382.15,"₦1,814.67","₦1,073.51","₦1,509.19",₦749.53,₦961.89,"₦1,342.79",₦164.39,₦190.68,"₦1,614.19",₦165.80,₦191.78,₦588.60,₦906.02,₦290.55,₦933.94,₦158.63,₦159.91,"₦1,054.49","₦1,856.34",₦257.99,₦477.09,₦229.51,₦217.37,₦322.45,₦281.49,₦317.63,₦366.04,₦139.65,₦910.91,₦935.02,₦265.49,₦516.72,₦665.12,₦211.21
26,Feb-19,₦464.27,₦42.23,₦373.91,₦338.05,₦980.54,"₦1,254.99",₦299.11,₦271.74,₦385.81,"₦1,799.35","₦1,066.39","₦1,517.84",₦731.91,₦932.32,"₦1,380.38",₦161.60,₦190.92,"₦1,632.71",₦166.61,₦191.06,₦585.69,₦911.33,₦284.31,₦931.39,₦155.59,₦158.29,"₦1,014.20","₦1,824.01",₦244.30,₦462.27,₦225.98,₦218.36,₦316.08,₦281.25,₦314.53,₦364.39,₦137.46,₦876.13,₦945.71,₦256.51,₦509.14,₦664.78,₦206.49
27,Mar-19,₦459.81,₦41.92,₦368.07,₦330.76,₦980.12,"₦1,253.48",₦299.98,₦273.14,₦382.45,"₦1,791.90","₦1,065.14","₦1,517.26",₦727.61,₦927.20,"₦1,381.40",₦161.98,₦188.23,"₦1,910.70",₦163.51,₦184.18,₦580.55,₦908.81,₦278.92,₦935.30,₦147.83,₦151.26,"₦1,015.53","₦1,825.51",₦231.91,₦460.32,₦223.13,₦212.53,₦314.88,₦280.80,₦313.55,₦361.90,₦134.72,₦876.36,₦945.66,₦240.30,₦506.65,₦663.90,₦200.88
28,Apr-19,₦467.18,₦41.95,₦372.84,₦329.45,"₦1,025.26","₦1,271.10",₦297.87,₦271.49,₦381.13,"₦1,763.61","₦1,082.01","₦1,548.23",₦746.28,₦947.99,"₦1,414.37",₦161.68,₦188.18,"₦1,681.11",₦163.37,₦182.59,₦578.52,₦941.44,₦289.67,₦958.05,₦151.70,₦155.90,"₦1,037.90","₦1,826.70",₦232.30,₦461.05,₦228.34,₦220.91,₦319.59,₦282.78,₦316.30,₦357.55,₦141.61,₦894.12,₦974.94,₦257.25,₦501.09,₦668.76,₦222.36
29,May-19,₦464.87,₦42.82,₦365.32,₦329.66,"₦1,023.39","₦1,268.95",₦297.28,₦272.09,₦377.77,"₦1,766.55","₦1,063.03","₦1,552.13",₦727.73,₦934.05,"₦1,414.49",₦163.37,₦189.51,"₦1,701.62",₦161.55,₦180.75,₦573.40,₦925.31,₦288.86,₦942.42,₦149.60,₦154.37,"₦1,026.85","₦1,826.77",₦228.26,₦456.41,₦226.34,₦217.15,₦321.56,₦278.26,₦316.94,₦361.39,₦140.83,₦884.47,₦949.22,₦249.52,₦496.64,₦668.37,₦216.03
